"df.data_coleta","od","dbo","turbidez","pH","coliformes","nt_total","p_total","temperatura","tds","IQA"
"1989-04-13",5.2,4,50,6.9,50000,0.22,0.217,24,199,39.2526464232939
"1989-06-15",6.4,2,15,6.6,9000,0.38,0.145,16,58,52.8048168687186
"1989-08-10",5.6,14,25,7.1,11000,0.51,0.254,18,175,45.7154249085968
"1989-10-19",3.2,6,10,7.2,5000,0.47,0.206,21,191,43.8767822541422
"1989-12-11",2.2,5,110,6.9,4000,0.62,0.285,23,188,35.9362584819102
"1990-01-30",6.2,6,42,7.2,13000,0.22,0.151,27,175,50.5227692684503
"1990-03-15",5.4,3,45,7.2,13000,0.26,0.14,25,182,45.4406668122248
"1990-05-24",6,3,13,7,13000,0.12,0.183,17,124,45.2738591493722
"1990-07-11",4,6,17,6.9,50000,0.22,0.107,18,159,39.7744440478656
"1990-10-16",2.6,6,10,6.9,23000,1,0.213,25,165,37.9683120730947
"1990-11-22",1.4,12,15,6.9,30000,0.5,0.25,27,220,32.0902876454404
"1991-03-18",6.4,1,53,7.1,11000,0.16,0.117,29,81,57.4320528897591
"1991-05-20",7.7,2,27,6.5,13000,0.1,0.094,21,113,49.0832677561509
"1991-07-11",6.2,4,11,7.1,230000,0.27,0.03,18,143,39.3545268326196
"1991-10-09",7.1,6,175,7.1,30000,0.13,0.473,20,344,25.8294527869931
"1992-01-22",3,5,30,6.2,130000,0.33,0.176,25,171,29.1628809899031
"1992-03-19",5,4,54,6.7,170000,0.14,0.179,27,193,36.7676272415207
"1992-05-14",4.5,5,22,6.7,80000,0.26,0.147,21,155,35.0057219911431
"1992-07-16",4.5,5,10,6.7,11000,0.69,0.003,19,161,40.8372638128998
"1992-09-17",3.6,10,78,6.7,50000,0.98,0.333,20,190,37.594355808016
"1992-11-18",5.5,5,180,7,30000,0.33,0.428,22,325,21.2630785768755
"1993-01-13",6.6,4,290,7,80000,0.2,0.646,23,659,14.5168263918525
"1993-02-02",4.6,2,180,6.4,30000,0.46,0.398,26,390,22.2076607389314
"1993-03-10",5.5,3,59,6.8,8000,0.26,0.222,26,160,47.3299259192833
"1993-04-12",7,1,61,6.7,8000,0.07,0.165,25,159,53.3899380553033
"1993-05-12",5.7,3,22,6.2,11000,0.23,0.143,22,138,44.9554536304274
"1993-06-07",6.8,4,135,6.2,11000,0.08,0.265,20,282,45.887183922549
